U, real, imaginary, magnitude, phase
0,5.681219383824043E-17,0.0,5.681219383824043E-17,0.0
1,4.7271214720367993E-17,-1.0028870095490916E-18,4.7281851946524453E-17,0.0
2,4.683753385137379E-17,-9.595189226496714E-18,4.7810273305753697E-17,0.0
3,9.80118763926896E-17,1.6750923564901044E-17,9.943299932262439E-17,0.0
4,1.2576745200831851E-17,5.887217796596289E-17,6.020056360452661E-17,0.0
5,-7.849623728795052E-17,1.0950441942103595E-17,7.925636534117379E-17,0.0
6,-2.5587171270657905E-17,-1.6696713456276768E-17,3.0552963422146056E-17,0.0
7,-9.150666335777657E-17,-5.789639601072594E-17,1.0828417294279091E-16,0.0
8,-1.474514954580286E-17,-0.4999999999999997,0.4999999999999997,1.5707963267948966
9,-2.6454533008646308E-17,4.87890977618477E-17,5.54997151084642E-17,0.0
10,-3.5561831257524545E-17,9.345822726825048E-17,9.999542032769605E-17,0.0
11,-2.992397996059992E-17,1.4116312285761268E-16,1.442999370464029E-16,0.0
12,2.6020852139652106E-17,-1.3314002678121994E-16,1.3565895280952748E-16,0.0
13,1.235990476633475E-16,-1.3357370765021415E-16,1.8198532896558262E-16,0.0
14,7.892991815694472E-17,-6.483528991463317E-17,1.0214473456119275E-16,0.0
15,9.627715291671279E-17,9.410874857174178E-17,1.3463189344092063E-16,0.0
16,3.946495907847236E-17,7.945033519973776E-16,7.954829095148019E-16,0.0
17,-1.209969624493823E-16,-6.765421556309548E-17,1.386266850409221E-16,0.0
18,5.312590645178972E-17,-1.7433970933566911E-16,1.8225448194096601E-16,0.0
19,-1.7932703932910243E-16,-1.6046192152785466E-17,1.8004351506551287E-16,0.0
20,-2.7321894746634712E-17,5.898059818321144E-17,6.50015145561673E-17,0.0
21,-1.8821749714348357E-16,1.0104764247564901E-16,2.136268997126622E-16,0.0
22,1.2576745200831851E-17,8.283304597789254E-17,8.378238493754105E-17,0.0
23,1.6046192152785466E-16,-3.5128150388530344E-17,1.6426203216242819E-16,0.0
24,-1.448494102440634E-16,2.0122792321330962E-16,2.479395666867122E-16,0.0
25,-9.71445146547012E-17,-3.599551212651875E-17,1.0359890743028043E-16,0.0
26,4.414871246360974E-16,2.680147770384167E-16,5.164714918854682E-16,0.0
27,1.9461428996114805E-16,2.3548871186385156E-16,3.054990266308191E-16,0.0
28,-4.088526392442837E-16,-3.946495907847236E-17,4.1075292282841022E-16,0.0
29,8.429671891074797E-17,1.6046192152785466E-17,8.58103554457256E-17,0.0
30,2.1364203808826865E-16,3.3436794999452957E-16,3.967932035986169E-16,0.0
31,1.5102936262723077E-16,-7.806255641895632E-17,1.700106793417705E-16,0.0
32,2.726645638124523E-17,-8.821068875342064E-16,8.825281982344108E-16,0.0
33,-2.239961688355052E-16,7.32920668600201E-17,2.356820118668326E-16,0.0
34,-6.245004513516506E-17,-3.6038880213418167E-16,3.6575961619770776E-16,0.0
35,9.31871767251291E-17,-5.2475385148298415E-17,1.0694632276269579E-16,0.0
36,-5.3017486234541167E-17,2.437286483747414E-16,2.4942836223093817E-16,0.0
37,1.8214596497756474E-17,-1.1709383462843448E-17,2.165366450871524E-17,0.0
38,-2.2280354644577116E-16,-9.324138683375338E-17,2.4152717554655115E-16,0.0
39,-6.787105599759258E-17,-1.1752751549742868E-16,1.3571734281670374E-16,0.0
40,3.7730235602495554E-17,-1.1275702593849246E-17,3.9379082615073214E-17,0.0
41,3.3566899260151217E-16,-5.854691731421724E-17,3.407365758487219E-16,0.0
42,-2.0686577451023425E-16,-3.131175874138137E-16,3.752813240910961E-16,0.0
43,-3.165870343657673E-17,-1.9038590148845458E-16,1.9300016836484017E-16,0.0
44,-3.686287386450715E-18,-6.461844948013606E-17,6.472350985470737E-17,0.0
45,-2.7538735181131813E-17,5.785302792382652E-16,5.791853467853633E-16,0.0
46,3.627740469136498E-16,-3.7730235602495554E-17,3.6473083197438465E-16,0.0
47,-1.6046192152785466E-16,-1.0581813203458523E-16,1.9221213626537816E-16,0.0
48,-1.0408340855860843E-17,-1.231653667943533E-16,1.2360437345401404E-16,0.0
49,-3.222248856626919E-16,-1.231653667943533E-16,3.449617145683307E-16,0.0
50,4.81385764583564E-16,7.489668607529865E-16,8.903278120163865E-16,0.0
51,-2.220446049250313E-16,-1.1340754724198376E-16,2.493292569029074E-16,0.0
52,7.806255641895632E-18,9.259086553026208E-17,9.291935216514212E-17,0.0
53,1.2750217548429532E-16,3.686287386450715E-17,1.327240604516702E-16,0.0
54,-2.7972416050126014E-16,3.5084782301630923E-16,4.487090381120244E-16,0.0
55,9.883587004377858E-16,-1.1329912702473521E-15,1.5035032887186438E-15,0.0
56,5.312590645178972E-16,-1.9190378452993428E-16,5.648568457134451E-16,0.0
57,4.696763811207205E-16,3.5344990823027445E-17,4.710044281733838E-16,0.0
58,5.056718932472393E-16,-3.5258254649228604E-16,6.164564183389061E-16,0.0
59,-1.196959198423997E-16,-3.252606517456513E-17,1.24036519391098E-16,0.0
60,7.719519468096792E-16,-3.073713158996405E-16,8.308952605600361E-16,0.0
61,4.167673151034279E-16,2.3635607360183997E-17,4.1743698551254984E-16,0.0
62,-2.0816681711721685E-17,4.2170043498823695E-16,4.2221391628741394E-16,0.0
63,-1.5105104667068048E-15,-1.6934966883680458E-15,2.269267041038658E-15,0.0
64,5.637851296924623E-18,5.038819736982428E-16,5.039135131997185E-16,0.0
65,3.937822290467352E-16,-4.1766178189572845E-16,5.740259645428336E-16,0.0
66,6.028164079019405E-17,3.393552799879629E-17,6.917728150856374E-17,0.0
67,1.0364972768961422E-16,-1.8445531560495887E-15,1.847463020345097E-15,0.0
68,1.8518173106052416E-16,4.391018798566293E-17,1.9031652090007465E-16,0.0
69,-1.2954047556856807E-15,1.069131762287956E-15,1.6796178750495687E-15,0.0
70,2.8319360745321376E-16,-6.48027638494586E-16,7.072046659597452E-16,0.0
71,1.244664094013359E-16,-3.95516952522712E-16,4.1463905605009544E-16,0.0
72,4.826868071905466E-16,3.7816971776294395E-16,6.13187482968063E-16,0.0
73,-3.0574501264091225E-16,-9.71445146547012E-17,3.2080690373227483E-16,0.0
74,2.224782857940255E-16,-9.75781955236954E-17,2.4293639474460926E-16,0.0
75,-2.0339632755828063E-16,2.682316174729138E-16,3.366277865481858E-16,0.0
76,1.218643241873707E-16,7.227291681788373E-16,7.329313501591528E-16,0.0
77,-1.0495077029659683E-16,-3.9833587817117433E-16,4.1192977074284114E-16,0.0
78,4.865899350114944E-16,-1.6588293239028218E-16,5.140884283008996E-16,0.0
79,2.08080080943418E-15,-2.3375398838787476E-16,2.0938894277466463E-15,0.0
80,-6.678685382510707E-17,-1.5612511283791264E-17,6.858742124065264E-17,0.0
81,7.78023478975598E-16,-1.496198998029996E-16,7.922794003723386E-16,0.0
82,-1.7802599672211983E-16,-1.478851763270228E-16,2.314374232620534E-16,0.0
83,2.0469737016526324E-16,-2.7668839441830073E-16,3.4417652586768895E-16,0.0
84,-1.964574336543734E-16,-4.852888924045118E-16,5.235463994043511E-16,0.0
85,-5.548946718780812E-16,-4.0722633598555547E-16,6.882887370856099E-16,0.0
86,8.738669510233166E-17,-8.291978215169138E-16,8.337898186529405E-16,0.0
87,2.5218542532012833E-16,2.8319360745321376E-16,3.792045728182335E-16,0.0
88,-1.5612511283791264E-17,4.0766001685454967E-17,4.365337789913888E-17,0.0
89,-1.5720931501039814E-16,5.581472783955377E-16,5.798647713962148E-16,0.0
90,-6.81312645189891E-16,2.0036056147532122E-16,7.10162851105542E-16,0.0
91,8.094653419776776E-16,1.5439038936193583E-15,1.7432364649111874E-15,0.0
92,-4.0722633598555547E-16,1.478851763270228E-16,4.332474051826452E-16,0.0
93,3.473783760643556E-16,9.194034422677078E-17,3.593393424795648E-16,0.0
94,7.220244367667217E-16,4.7271214720367993E-17,7.235702143050395E-16,0.0
95,-1.17354043149831E-15,7.576404781328705E-16,1.3968594197222011E-15,0.0
96,-4.269520233191161E-16,6.630980486921345E-16,7.886615575743523E-16,0.0
97,2.6926160953677503E-16,1.422906931169976E-15,1.4481595040401777E-15,0.0
98,-2.8693410494828875E-16,3.382710778154774E-16,4.4357468668638017E-16,0.0
99,1.6463609989192385E-16,3.0444397003392965E-16,3.4610861919005104E-16,0.0
100,-2.5370330836160804E-17,-5.572799166575493E-16,5.57857113602203E-16,0.0
101,1.4222564098664847E-15,-1.0200174038743626E-15,1.7502139296705693E-15,0.0
102,4.3194614551822497E-16,3.7773603689394974E-16,5.738135465431248E-16,0.0
103,-1.6176296413483726E-16,2.160164408460119E-15,2.1662127153498902E-15,0.0
104,-2.2920033926343564E-16,-1.1058862159352145E-16,2.5448504620984917E-16,0.0
105,-3.4954678040932663E-16,6.145257913647839E-16,7.069829559098578E-16,0.0
106,-6.108395039783332E-16,-2.246466901389965E-16,6.508387165887586E-16,0.0
107,5.767955557622884E-17,1.873935034923946E-15,1.874822510598505E-15,0.0
108,3.2395960913866872E-16,-1.9225072922512965E-15,1.949611273334428E-15,0.0
109,-1.2834785317883401E-15,-1.981921571303502E-16,1.2986905992997464E-15,0.0
110,2.226951262285226E-16,2.6454533008646308E-17,2.2426092295057373E-16,0.0
111,-1.7355908377147955E-15,3.131175874138137E-16,1.7636094180706205E-15,0.0
112,8.716985466783456E-17,-1.4536982728685643E-15,1.4563094630276417E-15,0.0
113,-6.505213034913027E-17,2.5804011705155006E-16,2.6611366306700204E-16,0.0
114,6.192962809237201E-16,9.71445146547012E-16,1.1520562296675006E-15,0.0
115,-1.078998002057574E-15,-1.6351937165426378E-15,1.9591057090072402E-15,0.0
116,4.570996359198887E-16,4.336808689942018E-18,4.571202085531856E-16,0.0
117,-2.6150956400350367E-16,4.818194454525582E-16,5.482127598674745E-16,0.0
118,-2.6020852139652106E-16,4.623688584781682E-15,4.63100470779806E-15,0.0
119,-3.1094918306884267E-16,5.303917027799088E-15,5.313024113650181E-15,0.0
120,-2.1945119332844598E-14,0.49999999999999883,0.49999999999999883,-1.5707963267948528
121,1.5222198501696482E-16,4.967814354328581E-16,5.195799527630334E-16,0.0
122,1.1301723445988898E-15,-4.692427002517263E-16,1.2237149342210723E-15,0.0
123,-2.0946785972419946E-16,-7.35089072945172E-16,7.643511819974045E-16,0.0
124,-5.529431079676073E-16,-8.673617379884035E-16,1.028621633631697E-15,0.0
125,1.9823552521724963E-15,-2.666920503879844E-15,3.322980186493835E-15,0.0
126,3.3523531173251797E-16,5.963111948670274E-17,3.4049755453400237E-16,0.0
127,1.6237011735142914E-15,-1.246805393304018E-15,2.047175905886857E-15,0.0
